Timestamp,Strategy,Timeframe,Spot,RSI,VWAP,ATM_Strike,PCR,Signal,PnL,Reason
09:48:58,EMA_Crossover,1minute,25567.15,46,25974.26,25550,0.5983704462512037,SCANNING,0.0,
09:49:05,EMA_Crossover,1minute,25574.45,49,25973.92,25550,0.5983704462512037,SCANNING,0.0,
09:49:12,EMA_Crossover,1minute,25577.35,51,25973.9,25600,0.5983704462512037,SCANNING,0.0,
09:53:23,EMA_Crossover,1minute,25576.5,49,25971.1,25600,0.6223729698184577,SCANNING,0.0,
09:53:35,EMA_Crossover,1minute,25575.9,49,25971.04,25600,0.6223729698184577,SCANNING,0.0,
09:53:45,EMA_Crossover,1minute,25581.9,51,25971.02,25600,0.6223729698184577,SCANNING,0.0,
09:53:57,EMA_Crossover,1minute,25581.35,51,25970.99,25600,0.6223729698184577,SCANNING,0.0,
09:54:21,EMA_Crossover,1minute,25592.85,55,25970.58,25600,0.6223729698184577,SCANNING,0.0,
09:54:32,EMA_Crossover,1minute,25594.85,55,25970.49,25600,0.6223729698184577,SCANNING,0.0,
10:02:23,EMA_Crossover,1minute,25568.2,46,25966.77,25550,0.6277066281781556,SCANNING,0.0,
10:02:36,EMA_Crossover,1minute,25563.2,44,25966.76,25550,0.6277067552086084,SCANNING,0.0,
10:02:46,EMA_Crossover,1minute,25563.6,44,25966.73,25550,0.6277070092696683,SCANNING,0.0,
10:02:59,EMA_Crossover,1minute,25563.1,44,25966.72,25550,0.6277289863296697,SCANNING,0.0,
10:03:09,EMA_Crossover,1minute,25568.1,46,25966.66,25550,0.6277287839501725,SCANNING,0.0,
10:03:20,EMA_Crossover,1minute,25568.6,46,25966.66,25550,0.6277283791911782,SCANNING,0.0,
10:03:31,EMA_Crossover,1minute,25569.9,47,25966.65,25550,0.6277207569225091,SCANNING,0.0,
10:03:42,EMA_Crossover,1minute,25566.3,45,25966.64,25550,0.6277207569225091,SCANNING,0.0,
10:03:52,EMA_Crossover,1minute,25569.7,47,25966.63,25550,0.6277207569225091,SCANNING,0.0,
10:04:19,EMA_Crossover,1minute,25586.1,54,25966.4,25600,0.627721010995149,SCANNING,0.0,
10:04:27,EMA_Crossover,1minute,25587.9,55,25966.37,25600,0.6266518754233633,BUY_CE,0.0,EMA_Cross_Up (5>13 Vol:1.4x Candles:1)
10:12:48,EMA_Crossover,1minute,25566.6,44,25963.37,25550,0.6445247289233482,SCANNING,0.0,
10:12:58,EMA_Crossover,1minute,25568.25,45,25963.36,25550,0.6445247289233482,SCANNING,0.0,
10:13:08,EMA_Crossover,1minute,25565.1,44,25963.27,25550,0.6445269495738233,SCANNING,0.0,
10:13:19,EMA_Crossover,1minute,25567.75,45,25963.26,25550,0.6445269495738233,SCANNING,0.0,
10:13:29,EMA_Crossover,1minute,25568.15,45,25963.24,25550,0.6428730551229503,SCANNING,0.0,
10:13:36,EMA_Crossover,1minute,25567.15,45,25963.21,25550,0.6422029323100281,SCANNING,0.0,
10:13:51,EMA_Crossover,1minute,25565.7,44,25963.19,25550,0.6421679938433924,SCANNING,0.0,
10:14:09,EMA_Crossover,1minute,25563.8,43,25962.92,25550,0.6421244172694925,SCANNING,0.0,
10:14:19,EMA_Crossover,1minute,25561.6,42,25962.91,25550,0.6421220819635398,SCANNING,0.0,
10:14:27,EMA_Crossover,1minute,25559.35,41,25962.82,25550,0.6421201358882216,SCANNING,0.0,
10:14:35,EMA_Crossover,1minute,25560.1,41,25962.78,25550,0.642119933841978,SCANNING,0.0,
10:14:43,EMA_Crossover,1minute,25561.45,42,25962.77,25550,0.6421198041040836,SCANNING,0.0,
10:14:51,EMA_Crossover,1minute,25559.2,41,25962.76,25550,0.6422389255614642,SCANNING,0.0,
10:15:01,EMA_Crossover,1minute,25558.45,41,25962.75,25550,0.6422389255614642,SCANNING,0.0,
10:15:11,EMA_Crossover,1minute,25556.65,40,25962.4,25550,0.642239963851212,SCANNING,0.0,
10:15:21,EMA_Crossover,1minute,25555.55,39,25962.36,25550,0.642239963851212,SCANNING,0.0,
10:15:30,EMA_Crossover,1minute,25561.55,43,25962.31,25550,0.642239963851212,SCANNING,0.0,
10:16:10,EMA_Crossover,1minute,25557.8,41,25961.18,25550,0.6422393149197263,SCANNING,0.0,
10:16:21,EMA_Crossover,1minute,25556.5,40,25961.16,25550,0.6422393149197263,SCANNING,0.0,
10:16:31,EMA_Crossover,1minute,25554.65,39,25961.1,25550,0.634897272883675,SCANNING,0.0,
10:16:41,EMA_Crossover,1minute,25547.3,36,25960.74,25550,0.6327634419864574,SCANNING,0.0,
10:16:52,EMA_Crossover,1minute,25548.65,37,25960.71,25550,0.6328026017317907,SCANNING,0.0,
10:17:02,EMA_Crossover,1minute,25546.85,36,25960.68,25550,0.6327913143443099,SCANNING,0.0,
10:17:12,EMA_Crossover,1minute,25553.2,39,25960.11,25550,0.6327922014847429,SCANNING,0.0,
10:20:24,EMA_Crossover,1minute,25577.95,52,25958.71,25600,0.6326219576332124,SCANNING,0.0,
10:20:33,EMA_Crossover,1minute,25578.5,53,25958.64,25600,0.6326305765421336,SCANNING,0.0,
10:20:44,EMA_Crossover,1minute,25584.25,56,25958.63,25600,0.6326724069356897,SCANNING,0.0,
10:20:54,EMA_Crossover,1minute,25585.2,56,25958.61,25600,0.6326724069356897,SCANNING,0.0,
10:21:12,EMA_Crossover,1minute,25580.4,53,25958.24,25600,0.6326720062001798,SCANNING,0.0,
10:21:24,EMA_Crossover,1minute,25577.55,52,25958.23,25600,0.6326720062001798,SCANNING,0.0,
