Timestamp,Spot,RSI,ATM_Strike,PCR,CE_Price,PE_Price,CE_OI,PE_OI,CE_Delta,PE_Delta,Status,PnL,Reason
14:19:59,26132.4,45,26150,1.49,47.3,59.55,227616,238727,0.4709,-0.5291,SCAN,0,Waiting
14:20:03,26133.15,45,26150,1.49,47.75,59.55,227616,238727,0.4678,-0.5322,SCAN,0,Waiting
14:20:06,26132.45,45,26150,1.49,47.9,59.4,227616,238727,0.4678,-0.5322,SCAN,0,Waiting
14:20:09,26131.25,44,26150,1.49,47.5,59.85,227616,238727,0.4678,-0.5322,SCAN,0,Waiting
14:20:14,26132.3,45,26150,1.49,47.55,59.65,227616,238727,0.4645,-0.5355,SCAN,0,Waiting
14:20:19,26133.25,46,26150,1.49,47.65,59.9,227616,238727,0.4645,-0.5355,SCAN,0,Waiting
14:20:23,26132.3,45,26150,1.49,48.2,59.15,227616,238727,0.4656,-0.5344,SCAN,0,Waiting
14:20:28,26134.35,46,26150,1.5,48.15,59.2,225678,241134,0.4656,-0.5344,SCAN,0,Waiting
14:20:30,26134.05,46,26150,1.5,48.2,59.3,225678,241134,0.4656,-0.5344,SCAN,0,Waiting
